id,name_en,name_ne,name_hi,name_zh,aliases,kind,district,municipality,ward,lat,lon,elev_m,km,side,in_channel,below_barrier_lakes,notes
thuman,Thuman,थुमन,थुमन,,Thuman village|थुमन गाउँ,settlement,Rasuwa,Aamachhodingmo RM,,28.21026,85.33817,2340,4,NP,false,false,Tamang Heritage Trail village above the west bank; off-corridor; no rescue reporting found (information gap); elev approx; coord: OSM/Nominatim node/2553969983 'थुमन'
timure,Timure,टिमुरे,टिमुरे,,"Timmure|Timure Bazar|टिमुरे|टिमुरे बजार|提木热|टिमुरे, रसुवा",settlement,Rasuwa,Gosaikunda RM,2,28.25285,85.36667,1725,4,NP,true,true,"Dry port, pilgrim hotels, 300+ vehicles swept; 123 airlifted 27 Aug; helipad gone; elev from repo; NDRRMA rescued-locations id 28 'टिमुरे, रसुवा'; NDRRMA rescued-locations id 61 'टिमुरे'; coord: OSM/Nominatim node/2553894641 'टिमुरे'"
timure_helipad,Timure helipad (destroyed),टिमुरे हेलिप्याड,टिमुरे हेलीपैड,,टिमुरे हेलिप्याड,helipad,Rasuwa,Gosaikunda RM,2,28.247,85.3745,,4,NP,true,true,Destroyed 26 Aug; helicopters lift from cleared ground/hillsides instead; coord estimated
timure_security_posts,Timure security posts (APF/Army/Police),टिमुरे सुरक्षा चौकी,टिमुरे सुरक्षा चौकी,,Timure APF post|Timure police post|Timure army post|टिमुरे प्रहरी चौकी|टिमुरे सशस्त्र प्रहरी,checkpost,Rasuwa,Gosaikunda RM,2,28.248,85.375,,4,NP,true,true,"Armed Police Force, Nepal Army and Nepal Police posts at Timure; swept; coord estimated"
ghattekhola,Ghattekhola,घट्टेखोला,घट्टेखोला,,Ghatte Khola|Ghattekhola Bazar|घट्टे खोला,settlement,Rasuwa,Gosaikunda RM,,28.217,85.365,,8,NP,true,true,Roadside settlement between Timure and Syabrubesi on the Bhote Koshi; coord estimated
briddim,Briddim,ब्रिद्दिम,ब्रिद्दिम,,Bridim|Bridhim|Briddhim|Briddim village|ब्रिद्दिम गाउँ|बृद्‌धिम|ब्रिद्धिम,settlement,Rasuwa,Gosaikunda RM,3,28.1995,85.36695,2230,10,NP,false,false,Tamang Heritage Trail homestay village on the ridge above the east bank between Timure and Syabrubesi; off-corridor; elev approx; coord: OSM/Nominatim node/4968010288 'बृद्‌धिम'
chilime_hep,Chilime Hydropower (22 MW),चिलिमे जलविद्युत,चिलिमे जलविद्युत,,Chilime HEP|Chilime Hydropower Company|Chilime powerhouse|चिलिमे जलविद्युत कम्पनी|चिलिमे हाइड्रोपावर,tunnel_portal,Rasuwa,Gosaikunda RM,,28.165,85.328,,15,NP,true,true,"22 MW; powerhouse at the Chilime Khola–Bhote Koshi confluence by Syabrubesi (OSM maps the headworks at 28.1812/85.3056, Aamachhodingmo-05); 8 missing (6 in tunnel); coord estimated"
chilime,Chilime,चिलिमे,चिलिमे,,Chilime village|Chilime Gaun|चिलिमे गाउँ,settlement,Rasuwa,Aamachhodingmo RM,,28.18362,85.30224,,16,NP,false,false,Village on the Chilime Khola (dam site of Chilime HEP); NDRRMA rescued-locations 'चिलिमे' may mean the powerhouse — see chilime_hep; off-corridor; NDRRMA rescued-locations id 60 'चिलिमे'; coord: OSM/Nominatim node/13242877444 'चिलिमे'
gatlang,Gatlang,गतलाङ,गतलांग,,Gatlang village|Gatlang Tamang village|गतलाङ गाउँ|गात्लाङ,settlement,Rasuwa,Aamachhodingmo RM,,28.1628,85.26837,2240,16,NP,false,false,Tamang Heritage Trail village on the Parvati Kunda ridge; off-corridor; elev approx; coord: OSM/Nominatim node/2553991729 'गतलांङ'
goljung,Goljung,गोल्जुङ,गोलजुंग,,Goljung village|Goljong|गोल्जुङ गाउँ,settlement,Rasuwa,Aamachhodingmo RM,,28.17002,85.31589,2200,16,NP,false,false,Village on the Chilime side valley west of Syabrubesi; off-corridor; elev approx; coord: OSM/Nominatim node/3495699359 'गोल्जुङ'
syabrubesi,Syabrubesi,स्याफ्रुबेसी,स्याब्रूबेसी,,Syafrubesi|Syaphrubesi|Shyaprubesi|Syabru Besi|Syabru Bensi|Syabrubensi|Syapru Besi|स्याब्रुबेसी|स्याफ्रुबेसी|स्याफ्रु बेसी|स्याफ्रुवेशी|स्याफ्रुबेशी|स्याफ्रुबेँसी|स्याब्रुबेँसी|夏布鲁贝西,settlement,Rasuwa,Gosaikunda RM,3,28.16457,85.34274,1460,16,NP,true,true,"Langtang trailhead bazaar; swept, 240+ buildings destroyed (EMSR927); ward chair missing; helipad destroyed; ward 3 per OSM (some reporting says ward 5); elev from repo; NDRRMA rescued-locations id 35 'स्याफ्रुबेसी'; NDRRMA rescued-locations id 50 'स्याफ्रुवेशी'; NDRRMA rescued-locations id 52 'स्याफ्रुबेशी'; coord: OSM/Nominatim node/14127413536 'स्याफ्रु बेसी'"
syabrubesi_helipad,Syabrubesi helipad (destroyed),स्याफ्रुबेसी हेलिप्याड,स्याब्रूबेसी हेलीपैड,,स्याफ्रुबेसी हेलिप्याड,helipad,Rasuwa,Gosaikunda RM,3,28.16,85.335,,16,NP,true,true,Destroyed 26 Aug; a private helicopter turned back unable to land; coord estimated
syabrubesi_np_checkpost,Syabrubesi national park checkpost,स्याफ्रुबेसी निकुञ्ज चेकपोस्ट,स्याब्रूबेसी राष्ट्रीय उद्यान चेकपोस्ट,,Langtang National Park checkpost Syabrubesi|Syabrubesi TIMS check|लाङटाङ निकुञ्ज चेकपोस्ट,checkpost,Rasuwa,Gosaikunda RM,3,28.163,85.336,,16,NP,true,true,Langtang NP / TIMS entry check at the trailhead; TIMS register is the trekker registry; coord estimated
syabrubesi_shelter,Syabrubesi temporary shelter,स्याफ्रुबेसी अस्थायी आश्रयस्थल,स्याब्रूबेसी अस्थायी आश्रय,,Syabrubesi shelter|स्याफ्रुबेसी आश्रयस्थल|Syabrubesi Temporary Shelter|स्याफ्रुबेँसी अस्थायी आश्रयस्थल,shelter,Rasuwa,Gosaikunda RM,3,28.1642,85.3392,,16,NP,true,true,Temporary shelter for survivors at Syabrubesi; coord: NDRRMA centroid (NDRRMA stationed-locations id 3 'Syabrubesi Temporary Shelter')
tatopani,Tatopani (Rasuwa),तातोपानी,तातोपानी,,Tatopani hot springs|Tatopani Rasuwa|तातोपानी रसुवा,settlement,Rasuwa,Aamachhodingmo RM,,28.22007,85.29882,2607,16,NP,false,false,Hot-spring lodge village on the Tamang Heritage Trail north of Chilime; off-corridor; NOT Tatopani/Kodari in Sindhupalchok; elev approx; coord: OSM/Nominatim node/2554000784 'तातोपानी'
thulo_syabru,Thulo Syabru,ठूलो स्याफ्रु,ठूलो स्याब्रू,,Thulo Syaphru|Syabru village|Thulo Shyabru|ठूलो स्याब्रु,settlement,Rasuwa,Gosaikunda RM,,28.14304,85.36069,2210,16,NP,false,false,Hillside village on the Gosaikunda trail above the Langtang–Trishuli junction; off-corridor; elev approx; coord: OSM/Nominatim node/3495857671 'ठुलो स्याप्रु'
langtang_khola_hep,Langtang Khola Hydropower (20 MW),लाङटाङ खोला जलविद्युत,लांगटांग खोला जलविद्युत,,Langtang Khola HEP|Langtang Khola Hydropower Project|लाङटाङ खोला जलविद्युत आयोजना,tunnel_portal,Rasuwa,Gosaikunda RM,,28.16,85.342,,17,NP,true,true,"20 MW; 42 missing, 18 rescued; helicopter-only after bridge washout; coord estimated"
bamboo,Bamboo (Langtang trail),बाम्बु,बांबू,,Bamboo Lodge|Bamboo Langtang|बाम्बु लज,lodge_cluster,Rasuwa,Gosaikunda RM,,28.15516,85.39817,2000,20,NP,false,false,Lodge cluster on the Langtang Khola; trail Bamboo→Kyanjin reported intact; off-corridor; elev approx; coord: OSM/Nominatim node/11186154607 'Hotel Bamboo & Lodge'
kyanjin_gompa,Kyanjin Gompa,क्याञ्जिन गुम्बा,क्यांजिन गोम्पा,,Kyanjin|Kyangjin Gompa|Kyanjin Gumba|क्याञ्जिन|क्यान्जिन गुम्बा,settlement,Rasuwa,Gosaikunda RM,4,28.21239,85.56659,3900,20,NP,false,false,Head of the Langtang valley; not flooded; NTC tower restored; trekkers walk out or airlift; off-corridor; elev from repo; coord: OSM/Nominatim node/3421443519 'क्याङजिन गोँपा'
lama_hotel,Lama Hotel,लामा होटल,लामा होटल,,Lama Hotel Langtang|लामा होटेल,lodge_cluster,Rasuwa,Gosaikunda RM,,28.16154,85.42981,2470,20,NP,false,false,Lodge cluster on the Langtang trail; off-corridor; elev approx; coord: OSM/Nominatim node/5240263319 'Origin Lama Hotel'
langtang_village,Langtang village,लाङटाङ गाउँ,लांगटांग गांव,,Langtang|Langtang Gaun|Lantang|लाङटाङ|लाङ्टाङ|लांगटांग|朗塘村,settlement,Rasuwa,Gosaikunda RM,4,28.21576,85.50898,3500,20,NP,false,false,"Side valley, not flooded; NTC tower restored; off-corridor (Langtang Khola joins at Syabrubesi, km 16; 3D uses km 20); repo reference 28.21/85.51; coord: OSM/Nominatim node/976471702 'लांगटांग'"
haku,Haku,हाकु,हाकु,,Haku village|Haku Gaun|हाकु गाउँ|हाकू,settlement,Rasuwa,,,28.12551,85.27375,,21,NP,false,false,"Village on the west-bank hillside opposite Dhunche, above the UT-1 headworks; off-corridor (hillside); coord: OSM/Nominatim node/13242877443 'हाकू'"
hakubesi,Hakubesi,हाकुबेसी,हाकुबेसी,,Haku Besi|Hakubensi|हाकु बेसी|हाफुबेसी,settlement,Rasuwa,,,28.11648,85.27907,,21,NP,true,true,Valley-floor settlement below Haku on the Trishuli opposite Dhunche (UT-1 headworks reach); NDRRMA rescued-locations spelling 'हाफुबेसी' is read as हाकुबेसी (judgment call); NDRRMA rescued-locations id 59 'हाफुबेसी'; coord: OSM/Nominatim node/3415530606 'हाकु बेसी'
dhunche,Dhunche,धुन्चे,धुंचे,,Dhunche Bazar|Rasuwa HQ|धुन्चे|धुञ्चे|धुन्चे बजार,settlement,Rasuwa,Gosaikunda RM,6,28.11279,85.29606,2000,22,NP,false,false,District HQ above the flood; Army forward base and helicopter staging; intact; elev from repo; NDRRMA rescued-locations id 56 'धुन्चे'; coord: OSM/Nominatim node/10315965426 'धुन्चे'
dhunche_army_camp,Dhunche Nepali Army relief camp,धुन्चे नेपाली सेना राहत शिविर,धुंचे नेपाली सेना राहत शिविर,,Dhunche relief camp|Dhunche army camp|धुन्चे राहत शिविर|Dhunche Nepali Army Relief Camp,shelter,Rasuwa,Gosaikunda RM,6,28.1118,85.2977,,22,NP,false,false,Army forward base and relief camp at Dhunche; coord: NDRRMA centroid (NDRRMA stationed-locations id 1 'Dhunche Nepali Army Relief Camp')
dhunche_helipad,Dhunche helipad (usable),धुन्चे हेलिप्याड,धुंचे हेलीपैड,,धुन्चे हेलिप्याड|Heli Road Dhunche,helipad,Rasuwa,Gosaikunda RM,6,28.1113,85.295,,22,NP,false,false,Primary helicopter staging point for the upper corridor; usable; coord estimated from OSM 'Heli Road' (way/265006462)
dhunche_np_gate,Dhunche national park gate,धुन्चे निकुञ्ज गेट,धुंचे राष्ट्रीय उद्यान गेट,,Langtang National Park HQ|Langtang NP entry Dhunche|लाङटाङ राष्ट्रिय निकुञ्ज कार्यालय,checkpost,Rasuwa,Gosaikunda RM,6,28.108,85.298,,22,NP,false,false,Langtang NP headquarters / entry gate at Dhunche; coord estimated
rasuwa_district_hospital,Rasuwa District Hospital,जिल्ला अस्पताल रसुवा,रसुवा ज़िला अस्पताल,,District Hospital Rasuwa|Dhunche hospital|रसुवा जिल्ला अस्पताल|धुन्चे अस्पताल,hospital,Rasuwa,Gosaikunda RM,6,28.1127,85.299,,22,NP,false,false,Dhunche; receives helicopter casualties; coord: NDRRMA centroid (NDRRMA stationed-locations id 2 'Rasuwa District Hospital')
mailung,Mailung,मैलुङ,मैलुंग,,Mailung Bazar|Mailung Dobhan|Mailung Khola|मैलुङ|मैलुङ्ग|मैलुङ खोला|मैलुंग,settlement,Rasuwa,Uttargaya RM,1,28.07177,85.207,,26,NP,true,true,"Hydropower cluster (UT-1 powerhouse, UT-3A, Mailung Khola HEP) at the Mailung Khola–Trishuli confluence; portals buried; main live front; NDRRMA rescued-locations id 58 'मैलुङ'; coord: OSM/Nominatim node/3415533959 'मैलुङ'"
mailung_khola_hep,Mailung Khola Hydropower (5 MW),मैलुङ खोला जलविद्युत,मैलुंग खोला जलविद्युत,,Mailung Khola HEP|Mailung Khola Hydropower Project|मैलुङ खोला जलविद्युत आयोजना,tunnel_portal,Rasuwa,Uttargaya RM,,28.075,85.205,,26,NP,true,true,5 MW on the Mailung Khola just above its confluence with the Trishuli; coord estimated
ut1_mailung_camp,Upper Trishuli-1 camp (Mailung/Haku),माथिल्लो त्रिशूली-१ क्याम्प,ऊपरी त्रिशूली-1 कैंप,,UT-1|UT1|Upper Trishuli 1|Upper Trishuli-1 Hydropower|Upper Trishuli-1 Hydroelectric Project|NWEDC|माथिल्लो त्रिशूली १|अपर त्रिशूली-१,camp,Rasuwa,,,28.07245,85.20931,,26,NP,true,true,"216 MW (NWEDC); powerhouse/camp at Mailung, headworks up-valley at Hakubesi; 73 Indian + 9 Korean nationals missing, 254 rescued (29 Aug); tunnel entry/exit points buried in mud; coord: OSM/Nominatim way/1552864314 'Upper Trishuli-1 Hydroelectric Project'"
ut3a,Upper Trishuli-3A (60 MW),माथिल्लो त्रिशूली-३ए,ऊपरी त्रिशूली-3A,,UT-3A|UT3A|Upper Trishuli 3A|Upper Trishuli 3 'A'|माथिल्लो त्रिशूली ३ए|अपर त्रिशूली-३ ए,tunnel_portal,Rasuwa,Uttargaya RM,,28.06,85.21,,28,NP,true,true,60 MW NEA project; cable-tunnel portal buried; 35-45 missing; first controlled blast 29 Aug; coord estimated
kalikasthan_phc,Kalikasthan primary health centre,कालिकास्थान प्राथमिक स्वास्थ्य केन्द्र,कालिकास्थान प्राथमिक स्वास्थ्य केंद्र,,Kalikasthan PHC|Kalikasthan|कालिकास्थान|Kalikasthan Primary Health Centre,hospital,Rasuwa,Kalika RM,,28.056,85.268,,30,NP,false,false,"Kalika RM headquarters on the Dhunche road, on the ridge east of the channel; off-corridor (hillside); coord: NDRRMA centroid (NDRRMA stationed-locations id 8 'Kalikasthan Primary Health Centre')"
ramche,Ramche,रामचे,रामचे,,Ramche Rasuwa|राम्चे|रामचे रसुवा,settlement,Rasuwa,Kalika RM,1,28.03256,85.21923,,30,NP,false,false,Hillside village (former Ramche VDC) above the Mailung–Simle reach of the Trishuli; telecom repeater restored by airlifted generator; above the channel; coord: OSM/Nominatim node/3415550686 'राम्चे'
simle,Simle,सिम्ले,सिमले,,Simle Rasuwa|सिम्ले रसुवा,settlement,Rasuwa,Uttargaya RM,,28.0292,85.1912,,32,NP,true,true,Valley-floor settlement in Uttargaya between Mailung and Betrawati; coord: OSM/Nominatim node/3415525225 'सिम्ले'
ut3,Upper Trishuli-3 (37 MW),माथिल्लो त्रिशूली-३,ऊपरी त्रिशूली-3,,UT-3|UT3|Upper Trishuli 3|माथिल्लो त्रिशूली ३,tunnel_portal,Rasuwa,Uttargaya RM,,28.0,85.21,,33,NP,true,true,37 MW per the research table (213 missing → ~128; 85 rescued); site buried; may be the same scheme outlets call Trishuli 3B — unresolved; coord estimated
dhaibung_relief_centre,Dhaibung relief collection centre,धैबुङ राहत सङ्कलन केन्द्र,धैबुंग राहत संग्रह केंद्र,,Dhaibung|धैबुङ|धइबुङ|धैबुङ राहत केन्द्र|Dhaibung Relief Collection Centre,shelter,Rasuwa,Kalika RM,2,28.024,85.245,,34,NP,false,false,Relief collection point on the Dhunche road above the Simle–Betrawati reach (OSM village node 28.0022/85.2112); off-corridor (hillside); coord: NDRRMA centroid (NDRRMA stationed-locations id 9 'Dhaibung Relief Collection Centre')
sole,Sole,सोले,सोले,,Sole Rasuwa|Sole Gaun|सोले गाउँ,settlement,Rasuwa,Uttargaya RM,,28.0,85.195,,34,NP,false,false,Uttargaya hillside village; sheltering site; coord estimated
khalti_basti,Khalti Basti,खल्टी बस्ती,खल्टी बस्ती,,Khalti|Khaltibasti|खल्टी|खाल्टे बस्ती,settlement,Rasuwa,Uttargaya RM,7,27.992,85.2,,35,NP,false,false,Uttargaya ward-7 hamlet across the river; 40-50 people unable to cross (29 Aug); coord estimated
pairebesi,Pairebesi,पैरेबेसी,पैरेबेसी,,Paire Besi|Pairebensi|पैरे बेसी,settlement,Rasuwa,Uttargaya RM,,27.988,85.192,,36,NP,true,true,Valley-floor settlement north of Betrawati; coord estimated
salletar,Salletar,सल्लेटार,सल्लेटार,,Salle Tar|Sallitar|सलिटार|सल्ले टार,settlement,Rasuwa,Uttargaya RM,,27.985,85.188,,37,NP,false,false,Terrace village near Betrawati used as a shelter site; NDRRMA rescued-locations spelling 'सलिटार'; NDRRMA rescued-locations id 62 'सलिटार'; coord estimated
ut3b,Upper Trishuli-3B,माथिल्लो त्रिशूली-३बी,ऊपरी त्रिशूली-3B,,UT-3B|UT3B|Upper Trishuli 3B|Trishuli 3B|माथिल्लो त्रिशूली ३बी|त्रिशूली ३बी,tunnel_portal,Rasuwa,Uttargaya RM,,27.98,85.19,,37,NP,true,true,20-25 missing; Chinese/PLA tunnel specialists assigned 29 Aug; Trishuli 3B substation also damaged; coord estimated
shantibazar,Shanti Bazar,शान्ति बजार,शांति बाज़ार,,Shantibazar|Shanti Bazaar|Santibazar|शान्तिबजार|शान्ति बजार,settlement,Rasuwa,Uttargaya RM,,27.975,85.186,,39,NP,true,true,Bazaar just upstream of Betrawati in Uttargaya; NDRRMA rescued-locations id 55 'शान्ति बजार'; coord estimated
betrawati,Betrawati,बेत्रावती,बेत्रावती,,"Betrabati|Betravati|Bettrawati|बेत्रावती|वेत्रवती|बेत्रवती|बेत्रावती बजार|वेत्रवती, रसुवा|बेत्रावती, रसुवा",settlement,Rasuwa,Uttargaya RM,,27.97311,85.18595,,40,NP,true,true,"Bazaar straddling the Rasuwa (Uttargaya RM) / Nuwakot (Bidur-10) boundary — OSM node is on the Nuwakot side, NDRRMA files it under Rasuwa; bridge gone, district isolated; ~3,500 sheltering incl. people on oxygen; repo reference 27.966/85.183; NDRRMA rescued-locations id 27 'वेत्रवती, रसुवा'; NDRRMA rescued-locations id 29 'बेत्रावती, रसुवा'; coord: OSM/Nominatim node/268864226 'बेत्रावती'"
betrawati_school_shelter,Betrawati school shelter,बेत्रावती विद्यालय आश्रयस्थल,बेत्रावती स्कूल आश्रय,,Betrawati school|बेत्रावती स्कुल|बेत्रावती विद्यालय,shelter,Rasuwa,Uttargaya RM,,27.968,85.185,,40,NP,false,false,~450 people sheltering at a Betrawati school (29 Aug); coord estimated
manedhunga,Manedhunga,मानेढुङ्गा,मानेढुंगा,,Mane Dhunga|Manedhunga Rasuwa|माने ढुङ्गा,settlement,Rasuwa,Uttargaya RM,,27.975,85.175,,40,NP,false,false,Listed by NDRRMA rescued-locations without a centroid; placed near Betrawati in Uttargaya (judgment call); NDRRMA rescued-locations id 63 'मानेढुङ्गा'; coord estimated
colony,Colony (Trishuli hydropower colony),कोलनी,कॉलोनी,,Kolani|Trishuli Colony|NEA colony Trishuli|कोलोनी|कोलनी,camp,Nuwakot,Bidur Municipality,,27.935,85.162,,44,NP,true,true,NDRRMA rescued-locations lists 'कोलनी' without a centroid; read as the NEA Trishuli hydropower staff colony at Trishuli Bazar (judgment call — could be another project colony); NDRRMA rescued-locations id 54 'कोलनी'; coord estimated
trishuli_bazar,Trishuli Bazar,त्रिशूली बजार,त्रिशूली बाज़ार,,Trishuli|Trisuli|Trisuli Bazar|Trishuli Bazaar|त्रिशुली|त्रिशूली|त्रिशुली बजार,settlement,Nuwakot,Bidur Municipality,,27.92241,85.1488,,44,NP,true,true,Bridge at Trishuli Bazar gone; Army coordination centre nearby; NDRRMA rescued-locations 'त्रिशुली'; NDRRMA rescued-locations id 53 'त्रिशुली'; coord: OSM/Nominatim way/303470439 'Trishuli Sakhu Bazar'
trishuli_hospital,Trishuli Hospital,त्रिशूली अस्पताल,त्रिशूली अस्पताल,,Trishuli District Hospital|Trisuli Hospital|त्रिशूली जिल्ला अस्पताल|त्रिशुली अस्पताल,hospital,Nuwakot,Bidur Municipality,,27.929,85.165,,44,NP,false,false,Nuwakot district hospital at Trishuli Bazar; coord: NDRRMA centroid (NDRRMA stationed-locations id 6 'Trishuli District Hospital')
battar,Battar,बट्टार,बट्टार,,Battar Bazar|Batar|Batar Bazar|बट्टार बजार|बटार बजार,settlement,Nuwakot,Bidur Municipality,4,27.89825,85.14635,,45,NP,true,true,"Bazaar between Trishuli and Bidur; community shelter here (NDRRMA stationed-locations, whose centroid sits ~3 km north); NDRRMA rescued-locations id 57 'बट्टार'; coord: OSM/Nominatim node/3488022929 'बटार बजार'"
battar_shelter,Battar community shelter,बट्टार सामुदायिक आश्रयस्थल,बट्टार सामुदायिक आश्रय,,Battar shelter|बट्टार आश्रयस्थल|Battar Community Shelter,shelter,Nuwakot,Bidur Municipality,,27.9245,85.1488,,45,NP,false,false,Community shelter at Battar; coord: NDRRMA centroid (NDRRMA stationed-locations id 7 'Battar Community Shelter')
maithali_barracks,Maithali barracks (No.1 Military Training Centre),मैथली ब्यारेक (नं. १ सैनिक तालिम केन्द्र),मैथली बैरक (नं. 1 सैन्य प्रशिक्षण केंद्र),,No.1 Military Training Centre|Nepal Army barracks Trishuli|Trishuli barracks|नं. १ सैनिक तालिम केन्द्र|त्रिशूली ब्यारेक,camp,Nuwakot,Bidur Municipality,,27.922,85.158,,45,NP,false,false,"Nepal Army coordination nerve centre for the response (Trishuli, Nuwakot); coord estimated"
bidur,Bidur,विदुर,विदुर,,Bidur Municipality|Nuwakot HQ|Bidur / Trishuli|विदुर नगरपालिका|बिदुर,settlement,Nuwakot,Bidur Municipality,,27.89526,85.14645,,46,NP,true,true,Nuwakot district HQ; Army relief camp here (NDRRMA stationed-locations); coord: OSM/Nominatim node/3499801960 'बिदुर'
bidur_army_camp,Bidur Nepali Army relief camp,विदुर नेपाली सेना राहत शिविर,विदुर नेपाली सेना राहत शिविर,,Bidur relief camp|Bidur army camp|विदुर राहत शिविर|Bidur Nepali Army Relief Camp,shelter,Nuwakot,Bidur Municipality,,27.9139,85.1505,,46,NP,false,false,Army relief camp at Bidur (Nuwakot HQ); coord: NDRRMA centroid (NDRRMA stationed-locations id 5 'Bidur Nepali Army Relief Camp')
devighat,Devighat,देवीघाट,देवीघाट,,Devi Ghat|Devighat Hydropower|देवीघाट|देवीघाट जलविद्युत,settlement,Nuwakot,Bidur Municipality,,27.86003,85.11006,,50,NP,true,true,Tadi–Trishuli confluence; Devighat power station damaged; repo reference 27.905/85.135 is ~5 km north of the OSM node; coord: OSM/Nominatim node/4156044161 'देवीघाट'
galchhi,Galchhi,गल्छी,गल्छी,,Galchi|Galchhi Bazar|गल्छी बजार|गल्छि,settlement,Dhading,Galchhi RM,,27.7974,85.00046,,60,NP,true,true,Prithvi Highway junction; Trishuli rose 9 m in 30 min here; surviving live DHM gauge; coord: OSM/Nominatim node/279374592 'गल्छी'
