id,priority,category,provider,sensor_product,nepal_candidate,epoch_role,resolution,height_method,geometry,product_needed,what_exists,visited_status,provided_to_project,usefulness,verdict,principal_blocker,access_tier,account_required,signup_requirements,verification_mfa,eligibility_approval,contract_licence_payment,api_authentication,delivery,current_account_status,current_entitlement,next_action,source_url,access_url,auth_docs_url,confidence,verified_date,notes
OPT-11,P2,Optical stereo — commercial,Satellogic,NewSat L1C Ortho Ready,One 27 Aug ~04:22 Charter acquisition reported; Charter record is L1B MS,Post,0.7–1.0 m L1C,RPC orthorectification / cross-sensor stereo,L1C embeds and supplies text RPCs,Exact Nepal L1C anchor frames/RPCs,Product capability confirmed; no exact L1C obtained,Official processing-level docs and Charter lead researched,No imagery acquired,Medium,Auxiliary view only until partner found,Only one view and wrong public processing level,Commercial quote / sales provisioned,Usually yes after sales approval,"Organisation, contact, work email, AOI, date range, use case and product specification",Provider onboarding; login/MFA varies,"Commercial availability, export controls and feasibility review","Quote, order agreement, licence and payment",API token/client credentials if contracted; otherwise portal/email order,"Portal, API, FTP/SFTP, cloud bucket or custom delivery",No account created,None,Request exact L1C and metadata; match against camera-bearing WV3/Airbus,https://developers.satellogic.com/data/processing-levels/ortho-ready.html,https://satellogic.com/contact/,,High,2026-08-30,
OPT-12,P2,Optical archive — commercial,BlackSky,BlackSky high-resolution imagery,Multiple 27 Aug times reported; downstream CEMS grading used BlackSky + Satellogic,Post,Sub-metre to metre class,Archive multiview/cross-sensor candidate,Exact camera-support package not publicly established,Source imagery and sensor/RPC metadata,Processed-map and acquisition leads only,Public access/licence pages and disaster records researched,No imagery acquired,Medium,Authenticated archive check warranted,"Contract, exact footprints, clouds, geometry and licence",Commercial quote / sales provisioned,Usually yes after sales approval,"Organisation, contact, work email, AOI, date range, use case and product specification",Provider onboarding; login/MFA varies,"Commercial availability, export controls and feasibility review","Quote, order agreement, licence and payment",API token/client credentials if contracted; otherwise portal/email order,"Portal, API, FTP/SFTP, cloud bucket or custom delivery",No account,None,Ask BlackSky for Nepal archive metadata and camera-support product options,https://blacksky.com/product-services-usage-rights/,https://blacksky.com/contact/,,Medium,2026-08-30,
OPT-13,P2,Optical stereo — commercial,SI Imaging Services,KOMPSAT-3 / KOMPSAT-3A Stereo,No exact event pair queried,Pre or post,0.5 m / 0.4 m PAN,Optical stereo tasking/archive,Stereo mode and off-nadir filters available; camera package must be confirmed,Stereo archive/tasking order,10+ year archive and order platform documented,Official SpaceEye order/access pages researched,No data acquired,Medium-high,Strong paid archive-search expansion,"Account request, purchase and exact Nepal coverage",Commercial quote / sales provisioned,Usually yes after sales approval,"Organisation, contact, work email, AOI, date range, use case and product specification",Provider onboarding; login/MFA varies,"Commercial availability, export controls and feasibility review","Quote, order agreement, licence and payment",API token/client credentials if contracted; otherwise portal/email order,"Portal, API, FTP/SFTP, cloud bucket or custom delivery",No SpaceEye account,None,Request account; search 2026 pre/post archive with Stereo filter,https://www.si-imaging.com/page/33,https://www.si-imaging.com/page/34,,High,2026-08-30,
OPT-14,P3,Optical archive — commercial/CCM,21AT / TripleSat,TripleSat Constellation,No exact Nepal acquisition confirmed,Pre or post,~0.8–1 m PAN,Potential cross-track optical stereo,Camera-product availability must be requested,Archive metadata and source product,Mission appears in Copernicus CCM catalogue,CCM mission inventory researched,No data acquired,Medium-low,Long-tail archive lead,Distributor access and exact geometry unknown,Commercial quote / sales provisioned,Usually yes after sales approval,"Organisation, contact, work email, AOI, date range, use case and product specification",Provider onboarding; login/MFA varies,"Commercial availability, export controls and feasibility review","Quote, order agreement, licence and payment",API token/client credentials if contracted; otherwise portal/email order,"Portal, API, FTP/SFTP, cloud bucket or custom delivery",Not created / not required,Unknown or not applicable,Search CCM catalogue first; contact 21AT only if coverage exists,https://documentation.dataspace.copernicus.eu/Data/Others/CCM.html,,,Medium,2026-08-30,
OPT-15,P3,Optical archive — commercial/CCM,China Siwei / SuperView,SuperView-1,No exact Nepal acquisition confirmed,Pre or post,~0.5 m PAN,Potential stereo/multiview,Source/camera product must be confirmed,Archive or tasking stereo package,Mission is indexed by Copernicus CCM,CCM inventory researched,No data acquired,Medium-low,Long-tail archive lead,"Commercial distributor, export/licence and metadata",Commercial quote / sales provisioned,Usually yes after sales approval,"Organisation, contact, work email, AOI, date range, use case and product specification",Provider onboarding; login/MFA varies,"Commercial availability, export controls and feasibility review","Quote, order agreement, licence and payment",API token/client credentials if contracted; otherwise portal/email order,"Portal, API, FTP/SFTP, cloud bucket or custom delivery",Not created / not required,Unknown or not applicable,Use CCM search for footprint evidence before sales outreach,https://documentation.dataspace.copernicus.eu/Data/Others/CCM.html,,,Medium,2026-08-30,
OPT-16,P3,Optical archive — commercial,CGSTL,Jilin-1 high-resolution imagery,No exact Nepal acquisition confirmed,Pre or post,Sub-metre variants,Potential agile multiview,Product-level camera support unknown,Archive metadata plus camera-bearing product,Commercial constellation capability only,Provider/product lead identified,No data acquired,Medium-low,Long-tail sales enquiry,"Access, export, language, exact coverage and camera metadata",Commercial quote / sales provisioned,Usually yes after sales approval,"Organisation, contact, work email, AOI, date range, use case and product specification",Provider onboarding; login/MFA varies,"Commercial availability, export controls and feasibility review","Quote, order agreement, licence and payment",API token/client credentials if contracted; otherwise portal/email order,"Portal, API, FTP/SFTP, cloud bucket or custom delivery",Not created / not required,Unknown or not applicable,Only pursue after top-ranked providers fail,https://www.charmingglobe.com/,,,Low,2026-08-30,
OPT-17,P2,Optical post — government/commercial,ISRO / Bhoonidhi,Cartosat-3 / Cartosat-2S,"Post-event PAN and MS records reported; currently same-look spectral products, not stereo",Post,Sub-metre,Requires separately acquired fore/aft or stereo product,GEO Orthokit support depends on delivery,True stereo acquisition/source package,PAN/MS inventory; no post stereo pair demonstrated,Bhoonidhi pages and disaster inventory researched,No data acquired,Low for listed records,Current records are not stereo,Bhoonidhi registration and priced NGE sub-5 m access; no stereo acquisition,Free registration plus paid sub-5 m NGE products,Yes for download/order; browse may be public,"Name, user ID/password, country, user type, organisation, postal address, state/city/postcode, mobile, email",CAPTCHA; verifiable email/mobile; account activation delay may apply,GE declaration for free sub-5 m; NGE users can order priced sub-5 m data,Bhoonidhi EULA; >=5 m open after registration; <5 m priced for NGE,User ID/password exchanged for JWT access/refresh tokens,HTTPS/API/FTP/SFTP/cart order,Deferred — postal address/EULA/CAPTCHA required,Public browse only,Request product metadata before registration/order,https://bhoonidhi.nrsc.gov.in/bhoonidhi/home.html,,https://bhoonidhi.nrsc.gov.in/bhoonidhi-api/,High,2026-08-30,
OPT-18,P1,Historical optical stereo,ISRO / Sentinel Asia,Cartosat-1 PAN Fore/Aft,"Exact 18 May 2014 pair, same path/row, 52 s apart",Pre,~2.5 m,Designed fore/aft optical stereo,RPC-capable source expected; delivery contents require inspection,Both original Fore/Aft products and RPCs,Sentinel Asia confirms exact pair and downloads,Sentinel Asia page verified,Metadata only,High as old pre-event DSM; low temporal fidelity,Best confirmed historical high-resolution pre-stereo lead,12-year temporal gap and unverified camera files,Institution/member gated,Public products no; requester WebGIS yes,Membership or access through the emergency observation requester/ADRC/JAXA partner,Requester-specific credentials sent after activation,Sentinel Asia member or authorised emergency-response role,Activation terms; generally no fee for approved response use,Restricted WebGIS login where required,Public value-added downloads or requester-only WebGIS,No requester credentials,Public links may be available; contents not downloaded,Download/inspect package; test ASP and datum; quantify 12-year bias,https://sentinel-asia.org/EO/2026/article20260826NP.html,,,High,2026-08-30,
OPT-19,P2,Historical optical stereo,JAXA,ALOS PRISM triplet/stereo,Archive search not completed,Pre,2.5 m source,Nadir/forward/backward optical stereo,PRISM orientation metadata/product route varies,Exact pre-event PRISM stereo scenes,ALOS PRISM catalogue capability; AW3D derived DEMs,JAXA G-Portal and AW3D documentation researched,No PRISM scenes acquired,Medium-high if coverage exists,Historical pre-DSM archive target,G-Portal lists PRISM catalogue only; acquisition/order route unclear,JAXA account / catalogue; product access varies,Yes for ordering/download,JAXA G-Portal user registration and terms acceptance,Email/account verification,Dataset-specific; ALOS PRISM is catalogue-only in G-Portal and may require separate order route,Mission/product licence; fees or research restrictions may apply,G-Portal account/session or API credentials where offered,Portal/order/download,No G-Portal account,None,Register and query Nepal PRISM stereo coverage,https://gportal.jaxa.jp/gpr/user/regist1,,,Medium,2026-08-30,
OPT-20,P2,Historical optical stereo,NASA / ASTER,ASTER VNIR nadir/backward stereo and AST14DEM,Global archive; exact cloud-free pre-event scenes not yet queried,Pre,15 m imagery / ~30 m DEM products,Along-track optical stereo or on-demand DEM,ASTER sensor geometry in Level-1 products,Cloud-free L1A/L1B stereo or AST14DEM order,NASA on-demand DEM and stereo-capable archive,Official Earthdata ordering guide researched; ASP fixture validated separately,"ASP official test data only, not Nepal",Medium as independent pre baseline,Worth automated archive query,"Clouds, resolution and Earthdata account activation",Free Earthdata-gated,Yes — NASA Earthdata Login,"Username, password, name, email, country, affiliation, study area and user type",Email verification plus reCAPTCHA; optional MFA,Public once account is activated; some collections add EULAs,NASA/DAAC terms; no imagery fee,"Earthdata OAuth/URS session, .netrc, earthaccess or temporary S3 credentials","HTTPS, Earthdata Cloud S3, Earthdata Search or ASF Vertex",Earthdata registration blocked by reCAPTCHA,HTTP 401,"After activation, query ASTER Nepal archive and AST14DEM",https://www.earthdata.nasa.gov/s3fs-public/2025-04/ASTER_Earthdata_Search_Order_Instructions.pdf,https://search.earthdata.nasa.gov/,,High,2026-08-30,
OPT-21,P3,Historical optical stereo,USGS,KH-9 Hexagon mapping-camera imagery,Archive coverage not queried,Very old pre,~6–9 m mapping camera,Historical film stereo,Frame/camera metadata; specialist photogrammetry required,Overlapping scanned frames,Declassified archive searchable in EarthExplorer,Official USGS archive documentation researched,No data acquired,Low-medium historical geomorphology,"Long-term pre-event context, not operational baseline","Decades-old epoch, scan geometry and manual stereo workflow",Free USGS account,Yes for EarthExplorer downloads/orders,"USGS EROS user registration, email and profile details",Email/account verification,Public collections; some on-demand products have processing limits,Generally no charge; collection-specific terms,EROS/EarthExplorer credentials or machine-to-machine token where applicable,EarthExplorer HTTPS/bulk download/on-demand order,Not created / not required,Unknown or not applicable,Low-priority EarthExplorer footprint search,https://www.usgs.gov/centers/eros/science/usgs-eros-archive-declassified-data-declassified-satellite-imagery-3,https://earthexplorer.usgs.gov/,,High,2026-08-30,
OPT-22,P3,Historical optical stereo,USGS,CORONA / ARGON declassified imagery,Archive coverage not queried,Very old pre,Mission-dependent,Historical frame stereo,Film camera reconstruction required,Overlapping scans and camera/orbit metadata,Public EarthExplorer archive,Official USGS history/access pages researched,No data acquired,Low,Historical landscape context only,1960s–70s epoch and difficult camera reconstruction,Free USGS account,Yes for EarthExplorer downloads/orders,"USGS EROS user registration, email and profile details",Email/account verification,Public collections; some on-demand products have processing limits,Generally no charge; collection-specific terms,EROS/EarthExplorer credentials or machine-to-machine token where applicable,EarthExplorer HTTPS/bulk download/on-demand order,Not created / not required,Unknown or not applicable,No immediate action,https://pubs.usgs.gov/publication/cir1552/full,https://earthexplorer.usgs.gov/,,High,2026-08-30,
OPT-23,P3,Optical context,Copernicus,Sentinel-2 L2A,"61 exact-overlap products: 57 pre-cutoff, 4 post; all post highly cloudy",Both / context,10 m best bands,No practical high-resolution stereo,Near-nadir; insufficient convergence,Public L2A,Official catalogue fully queried,CDSE OData queried and normalized,61-scene context catalogue,Medium for flood/cloud context; none for DSM,Context only,Fundamental resolution/convergence,Open catalogue / free account for downloads,Catalogue no; Browser/download/API token yes,"Email, password, name/country and acceptance of CDSE terms",Email verification; optional 2FA,Public Sentinel/Copernicus collections,Free under collection terms,OIDC/OAuth access token; S3 credentials for object access,"Browser, OData, STAC, S3, Sentinel Hub or openEO",No account needed for catalogue,Public catalogue,Use for cloud/flood timeline only,https://documentation.dataspace.copernicus.eu/Data/SentinelMissions/Sentinel2.html,https://dataspace.copernicus.eu/,,High,2026-08-30,
OPT-24,P3,Optical context,USGS / AWS,Landsat 8/9,Global archive; exact event scenes not catalogued in this project,Both / context,15 m PAN / 30 m MS,No suitable detailed stereo,Near-nadir,L1/L2 scenes,Open global archive,Known official open source; not Nepal-queried,None,Low-medium context,Context only,"Resolution, cloud and geometry",Open / no authentication,No,None,None,Public,Dataset licence/attribution still applies; no account or purchase,Unsigned HTTPS/S3/STAC where offered,"Direct HTTPS, public S3, STAC or portal download",Not created / not required,Unknown or not applicable,Use only if temporal/cloud context is needed,https://www.usgs.gov/landsat-missions/landsat-data-access,https://earthexplorer.usgs.gov/,,High,2026-08-30,
OPT-25,P3,Visual context,Google,Google Earth historical imagery,July 2026 pre-event frame observed manually,Pre / visual,High visual detail; source varies,None — processed orthophoto,No camera/RPC exposed,Interactive historical frame,Visual history,Manually inspected,Pre-event visual confirmation only,Medium visual; none metric,Visual verification only,No camera model and extraction/redistribution restrictions,Public viewing / licensed platform,Optional Google account for some features,Google account if needed,Google account security,Viewing under Google terms,No bulk extraction rights; commercial APIs billed separately,Google account or API key for licensed APIs,Interactive viewing; no raw camera product delivery,Existing Google session available,Interactive viewing,"Use for qualitative interpretation, never photogrammetry",https://earth.google.com/,,,High,2026-08-30,
OPT-26,P3,Visual context,Esri,World Imagery Wayback,Historical basemap versions available,Pre / visual,Basemap-dependent,None,No source camera exposed,Wayback web layers,Public historical basemap viewer,Public access reviewed,Context only,Low-medium,Visual verification only,No camera model and basemap licence,Public viewing / optional ArcGIS account,No for Wayback viewer; yes for some ArcGIS services,ArcGIS account/API key if programmatic quota or premium access is needed,Email/organisation controls,Public Wayback use under Esri terms,Basemap terms; no camera-model/raw-image entitlement,None for viewer; ArcGIS token/API key for controlled services,Web map/tile services,No account created,Public Wayback viewer,Use for visual dates only,https://livingatlas.arcgis.com/wayback/,,,High,2026-08-30,
SAR-01,P1,SAR / InSAR — open,NASA/ISRO / ASF,NISAR L-band SLC/RSLC/GSLC/GCOV,Post-event acquisitions exist in mission inventory; exact coherent pre/post pair not validated,Both / post,Product/mode dependent,"Repeat-pass InSAR, offsets, coherence or radargrammetry",Precise orbits and complex SLC required,Same track/frame/mode/polarization pre/post SLCs,NISAR science data and Urgent Response products are public,Official ASF/NISAR access docs researched,No Nepal product downloaded,High for independent change; uncertain height,Priority SAR feasibility query,"Earthdata activation, coherent pairing, layover/shadow and flood decorrelation",Free Earthdata-gated,Yes — NASA Earthdata Login,"Username, password, name, email, country, affiliation, study area and user type",Email verification plus reCAPTCHA; optional MFA,Public once account is activated; some collections add EULAs,NASA/DAAC terms; no imagery fee,"Earthdata OAuth/URS session, .netrc, earthaccess or temporary S3 credentials","HTTPS, Earthdata Cloud S3, Earthdata Search or ASF Vertex",Earthdata registration blocked by reCAPTCHA,HTTP 401 until activation,"After EDL activation, query exact track/frame SLC and coherence candidates",https://nisar-docs.asf.alaska.edu/,https://search.asf.alaska.edu/,https://nisar-docs.asf.alaska.edu/earthaccess/,High,2026-08-30,
SAR-02,P2,SAR / InSAR — Bhoonidhi,ISRO,NISAR S-band,S-band data available through Bhoonidhi; exact pair not validated,Both / post,Product dependent,InSAR/change detection,Complex products/orbits needed,Matching SLC products,Bhoonidhi hosts NISAR S-band beta/science products,Official NISAR access docs and Bhoonidhi researched,No data acquired,Medium-high,Complementary SAR route,Bhoonidhi registration plus exact coherent pair,Free registration plus paid sub-5 m NGE products,Yes for download/order; browse may be public,"Name, user ID/password, country, user type, organisation, postal address, state/city/postcode, mobile, email",CAPTCHA; verifiable email/mobile; account activation delay may apply,GE declaration for free sub-5 m; NGE users can order priced sub-5 m data,Bhoonidhi EULA; >=5 m open after registration; <5 m priced for NGE,User ID/password exchanged for JWT access/refresh tokens,HTTPS/API/FTP/SFTP/cart order,Deferred,None,Query catalogue after registration details are available,https://nisar-docs.asf.alaska.edu/access-overview/,https://bhoonidhi.nrsc.gov.in/bhoonidhi/home.html,,High,2026-08-30,
SAR-03,P1,SAR / InSAR — open,ESA / Copernicus,Sentinel-1 SLC,Post-event products/damage proxy exist; exact coherent SLC pair not validated,Both,~5×20 m acquisition; effective products vary,Repeat-pass InSAR/coherence/amplitude offsets,"Same relative orbit, mode, polarization and precise orbit required",Pre/post IW SLC pair and orbit files,Open archive and processed damage-proxy products,Catalogue/context sources researched,Context only,High for extent/coherence; low building-scale height,Run exact SLC pairing audit,"Steep terrain, decorrelation, resolution and pair availability",Open catalogue / free account for downloads,Catalogue no; Browser/download/API token yes,"Email, password, name/country and acceptance of CDSE terms",Email verification; optional 2FA,Public Sentinel/Copernicus collections,Free under collection terms,OIDC/OAuth access token; S3 credentials for object access,"Browser, OData, STAC, S3, Sentinel Hub or openEO",No CDSE download account created,Public catalogue,Automate same-track SLC search and baseline/coherence prediction,https://documentation.dataspace.copernicus.eu/Data/SentinelMissions/Sentinel1.html,https://dataspace.copernicus.eu/,,High,2026-08-30,
SAR-04,P2,SAR / change — government,ISRO / Sentinel Asia,EOS-04 SAR HH/HV,Exact post-event 26 Aug 11:39:06 acquisition confirmed,Post,Mode dependent,Amplitude/polarimetric change; not stereo from HH/HV alone,HH/HV are polarizations of one look,Post image plus compatible pre SLC for InSAR,Sentinel Asia product links,Exact inventory verified,Metadata only,Medium for change extent,Not a standalone height source,No second coherent geometry/epoch confirmed,Institution/member gated,Public products no; requester WebGIS yes,Membership or access through the emergency observation requester/ADRC/JAXA partner,Requester-specific credentials sent after activation,Sentinel Asia member or authorised emergency-response role,Activation terms; generally no fee for approved response use,Restricted WebGIS login where required,Public value-added downloads or requester-only WebGIS,No requester credentials,Public value-added links only,Inspect package/product level; search Bhoonidhi for same-track pre SLC,https://sentinel-asia.org/EO/2026/article20260826NP.html,,,High,2026-08-30,
